Date,Lat,Lng,Speed(mph),Speed(km/h),Accuracy,Type,Date2
2014-09-13 10:56:02 PM,57.04645,9.93310,0,0,27,GPS,2014-09-13 22:56:02+02:00
2014-09-14 05:56:03 AM,57.05070,9.92090,1,2,19,GPS,2014-09-14 05:56:03+02:00
2014-09-14 06:16:02 AM,57.04737,9.92650,1,2,15,GPS,2014-09-14 06:16:02+02:00
2014-09-14 06:36:03 AM,57.04446,9.94180,2,3,18,GPS,2014-09-14 06:36:03+02:00
2014-09-14 07:16:02 AM,57.04463,9.94610,0,0,34,GPS,2014-09-14 07:16:02+02:00
2014-09-14 07:36:02 AM,57.04605,9.93450,10,16,9,GPS,2014-09-14 07:36:02+02:00
2014-09-14 02:13:02 PM,57.03142,9.94580,0,0,22,GPS,2014-09-14 14:13:02+02:00
2014-09-14 03:13:02 PM,57.03148,9.94520,0,0,34,GPS,2014-09-14 15:13:02+02:00
2014-09-14 03:53:02 PM,57.03110,9.94580,0,0,12,GPS,2014-09-14 15:53:02+02:00
2014-09-14 04:33:03 PM,57.03139,9.94600,0,0,28,GPS,2014-09-14 16:33:03+02:00
2014-09-14 04:53:02 PM,57.03162,9.94540,0,0,34,GPS,2014-09-14 16:53:02+02:00
2014-09-14 06:13:02 PM,57.03174,9.94510,0,0,29,GPS,2014-09-14 18:13:02+02:00
2014-09-14 06:33:03 PM,57.03152,9.94580,0,0,44,GPS,2014-09-14 18:33:03+02:00
2014-09-14 07:33:04 PM,57.03133,9.94610,0,0,33,GPS,2014-09-14 19:33:04+02:00
2014-09-14 07:53:02 PM,57.03153,9.94600,0,0,46,GPS,2014-09-14 19:53:02+02:00
2014-09-14 08:13:03 PM,57.03144,9.94570,0,0,20,GPS,2014-09-14 20:13:03+02:00
2014-09-14 08:53:02 PM,57.03143,9.94500,0,0,28,GPS,2014-09-14 20:53:02+02:00
2014-09-14 09:13:02 PM,57.03141,9.94580,0,0,23,GPS,2014-09-14 21:13:02+02:00
2014-09-14 10:13:02 PM,57.03161,9.94580,0,0,42,GPS,2014-09-14 22:13:02+02:00
2014-09-14 11:13:02 PM,57.03140,9.94550,0,0,15,GPS,2014-09-14 23:13:02+02:00
2014-09-15 01:53:03 AM,57.03155,9.94570,0,0,48,GPS,2014-09-15 01:53:03+02:00
2014-09-15 02:53:02 AM,57.03122,9.94610,0,0,47,GPS,2014-09-15 02:53:02+02:00
2014-09-15 03:13:03 AM,57.03134,9.94660,0,0,48,GPS,2014-09-15 03:13:03+02:00
2014-09-15 03:33:03 AM,57.03120,9.94500,0,0,50,GPS,2014-09-15 03:33:03+02:00
2014-09-15 04:13:02 AM,57.03187,9.94550,0,0,44,GPS,2014-09-15 04:13:02+02:00
2014-09-15 04:53:03 AM,57.03141,9.94540,0,0,28,GPS,2014-09-15 04:53:03+02:00
2014-09-15 05:13:03 AM,57.03132,9.94510,0,0,35,GPS,2014-09-15 05:13:03+02:00
2014-09-15 05:33:03 AM,57.03139,9.94540,0,0,43,GPS,2014-09-15 05:33:03+02:00
2014-09-15 07:53:03 AM,57.03117,9.94510,0,0,30,GPS,2014-09-15 07:53:03+02:00
2014-09-15 08:13:02 AM,57.01471,9.98770,0,0,28,GPS,2014-09-15 08:13:02+02:00
2014-09-15 08:53:05 AM,57.01152,9.99130,0,0,199,GPS,2014-09-15 08:53:05+02:00
2014-09-15 11:33:02 AM,57.01162,9.99160,0,0,37,GPS,2014-09-15 11:33:02+02:00
2014-09-15 12:13:02 PM,57.01156,9.99110,0,0,42,GPS,2014-09-15 12:13:02+02:00
2014-09-15 01:33:02 PM,57.01163,9.99150,0,0,47,GPS,2014-09-15 13:33:02+02:00
2014-09-15 02:53:26 PM,57.02245,9.94800,35,56,3,GPS,2014-09-15 14:53:26+02:00
2014-09-15 08:34:02 PM,56.99580,9.86880,2,3,3,GPS,2014-09-15 20:34:02+02:00
2014-09-15 09:14:03 PM,57.03141,9.94570,0,0,15,GPS,2014-09-15 21:14:03+02:00
2014-09-15 09:34:03 PM,57.03308,9.94280,2,3,6,GPS,2014-09-15 21:34:03+02:00
2014-09-15 10:14:02 PM,57.03157,9.94510,0,0,47,GPS,2014-09-15 22:14:02+02:00
2014-09-15 11:14:03 PM,57.03136,9.94550,0,0,50,GPS,2014-09-15 23:14:03+02:00
2014-09-16 12:14:03 AM,57.03156,9.94500,0,0,35,GPS,2014-09-16 00:14:03+02:00
2014-09-16 12:34:03 AM,57.03151,9.94550,0,0,47,GPS,2014-09-16 00:34:03+02:00
2014-09-16 12:54:02 AM,57.03188,9.94540,0,0,42,GPS,2014-09-16 00:54:02+02:00
2014-09-16 01:14:03 AM,57.03151,9.94570,0,0,12,GPS,2014-09-16 01:14:03+02:00
2014-09-16 02:14:03 AM,57.03130,9.94590,0,0,28,GPS,2014-09-16 02:14:03+02:00
2014-09-16 02:34:02 AM,57.03120,9.94620,0,0,40,GPS,2014-09-16 02:34:02+02:00
2014-09-16 03:14:02 AM,57.03116,9.94580,0,0,46,GPS,2014-09-16 03:14:02+02:00
2014-09-16 03:34:03 AM,57.03145,9.94540,0,0,45,GPS,2014-09-16 03:34:03+02:00
2014-09-16 04:14:03 AM,57.03124,9.94630,0,0,53,GPS,2014-09-16 04:14:03+02:00
2014-09-16 04:54:03 AM,57.03147,9.94560,0,0,44,GPS,2014-09-16 04:54:03+02:00
2014-09-16 07:14:02 AM,57.03122,9.94570,0,0,46,GPS,2014-09-16 07:14:02+02:00
